Linea		Token		Lexema		
1		CLASS		class
1		PROGRAM		Program
1		LBRACE		{
2		INT		int
2		ID		a
2		SEMIC		;
4		INT		int
4		ID		add
4		LPAR		(
4		INT		int
4		ID		a
4		COMMA		,
4		INT		int
4		ID		b
4		COMMA		,
4		BOOLEAN		boolean
4		ID		x
4		RPAR		)
4		LBRACE		{
5		RETURN		return
5		ID		a
5		PLUS		+
5		ID		b
5		SEMIC		;
6		RBRACE		}
8		INT		int
8		ID		main
8		LPAR		(
8		RPAR		)
8		LBRACE		{
9		ID		a
9		ASSIGN		=
9		ID		add
9		LPAR		(
9		INT_LIT		0xa
9		COMMA		,
9		INT_LIT		3
9		RPAR		)
9		SEMIC		;
10		RETURN		return
10		ID		a
10		SEMIC		;
11		RBRACE		}
12		RBRACE		}


